short_description,date_posted,post_time_hour_24h,day_of_week,niche_category,content_format,content_format_clean,hook_style,video_duration_seconds,views,likes,comments,shares,saves_or_favorites,engagement_rate,performance_label,followers_gained,watch_time_percentage,avg_watch_time_seconds,hashtag_1,hashtag_2,hashtag_3,total_hashtag_count,
fully funded scholarship in germany 2026/2027,20/11/2025,19:31,Thursday,fully funded scholarship in Germany,voiceover,voiceover,Fomo,53.92,21983,968,269,231,489,0.089023336,High,290,28.13%,6.4,volunteerabroad,scholarshipopportinities,visasponsorship,5,
Looking to move to Austria,22/11/2025,19:30,Saturday,study / summer school,voiceover,voiceover,Fomo,41.4,12106,500,261,106,173,0.085907814,High,288,6.15%,11.9,germanyscholarship,studyabroad,creatorsearchinsight,5,
Canada visa sponsorship,21/11/2025,10:50,Friday,visa /workvisa,voiceover,voiceover,Question,52.5,1685,51,41,15,24,0.077744807,High,73,33.99%,5.8,australiavisa,jobsponsorship,australiaimmigration,5,
Travel to Australia ,03/01/2026,10:10:00,Saturday,conference/fellowship,voiceover,voiceover,Question,36.9,"5,435",186,133,51,52,0.077644894,High,79,9.52%,12,traveltoaustralia,visaopportunities,creatorsearchinsight,5,
Austrialia 5- year visa EOI ,24/11/2025,19:59,Monday,visa /workvisa,screen_recording,screen_recording,Tutorial,46.11,2537,95,9,29,55,0.074103272,High,242,11.47%,14.1,studyinaustria,austriavisa,europecommunities,5,
fully funded volunteer Hungary,11/01/2026,16:06,Sunday,visa / volunteer abroad,voiceover,voiceover,Question,37.3,1514,52,24,13,16,0.069352708,High,6,6.66%,9.6,creatorsearchinsight,volunteer,communitysupport,4,
Denmark student visa,04/01/2026,19:58,Sunday,visa,voiceover,voiceover,Question,36.22,8872,343,164,31,70,0.068530207,High,135,12.73%,14.6,creatorsearchinsight,studyabroad,denmarkstudentvisa,5,
Canada 2026 opportunity is officially OPEN,13/12/2025,12:30 pm,Saturday,Conference/fellowship,voiceover,voiceover,Question,37.2,184907,6220,1989,2196,1943,0.066779516,High,2648,6.71%,11.6,creatorsearchinsight,traveltocanada,fullyfunded,5,
Australia 5 years visa requirements ,23/11/2025,21:32,Sunday,visa /workvisa,voiceover,voiceover,Fomo,43.8,5746,200,59,25,87,0.064566655,High,79,6.91%,11.7,australia491visa,migrationtips,visaopportunities,5,
netherlands study visa,17/01/2026,11:39,Saturday,visa,voiceover,voiceover,Value,39.07,347,17,3,2,0,0.063400576,High,1,6.04%,7.3,creatorsearchinsight,studyabroad,netherlands,3,
canada visa advice,17/01/2006,16:16,Saturday,visa / volunteer abroad,voiceover,voiceover,Value,57.61,319,14,4,2,0,0.062695925,High,1,4.62%,9.7,creatorsearchinsight,visatips,canadavisa,3,
Visa Advice,14/01/2026,7:41,Wednesday,visa /workvisa,text_overlay,text_overlay,Value,2.67,50,2,0,1,0,0.06,High,0,63.16%,4.2,creatorsearchinsight,workvisa,visasponsorship,3,
list of summer research ,09/01/2026,7:48,Friday,study / summer school,voiceover,voiceover,Value,22.23,526,26,0,3,2,0.058935361,High,0,4.60%,4.2,creatorsearchinsight,studyabroad,scholarshipalert,3,
canada conference,04/01/2026,21:50,Sunday,conference/fellowship,voiceover,voiceover,Question,35.23,1068,42,3,6,10,0.057116105,High,3,9.48%,10.2,creatorsearchinsight,visa support,official update,5,
Volunteer Programs That Can Help Your Visa,21/11/2025,18:06,Friday,visa / volunteer abroad,text_overlay,text_overlay,Value,8.87,26402,627,284,192,357,0.055298841,High,15,20.46%,5,fully funded,careerabroad,scholarshipalert,5,
Trave to Japan,16/12/2025,13:37,Tuesday,conference/fellowship,voiceover,voiceover,Question,39.1,1592,48,30,3,6,0.054648241,High,22,7.44%,10.4,creatorsearchinsight,fullyfunded,japanfellowship,5,
most student study blindly,24/11/2025,7:27,Monday,study / summer school,text_overlay,text_overlay,Value,15,1045,49,3,0,5,0.054545455,High,1,1.70%,3,creatorsearchinsight,schooltalk,ielts,4,
canada conference,21/12/2025,14:37,Sunday,conference/fellowship,voiceover,voiceover,Value,32.81,1704,61,14,4,11,0.052816901,High,17,7.03%,9.9,canada,canada_life,tiktok_live,3,
fully funded fellowship in Italy,24/11/2025,13:48,Monday,conference/fellowship,text_overlay,text_overlay,Tutorial,7.7,3555,83,49,10,44,0.052320675,High,18,5.84%,9,australiavisa,australia5yearvisa,australiaimmigration,5,
NL Scholarships,21/11/2025,8:21,Friday,study / summer school,voiceover,voiceover,Question,35,486,16,6,0,2,0.049382716,High,3,7.26%,10.5,nlscholarship,studyinnetherlands,scholarship2026,4,
how to use uni-assist,28/11/2025,9:24,Friday,study / summer school,screen_recording,screen_recording,Fomo,10:00,8680,167,25,57,170,0.048271889,High,74,3.10%,10,creatorsearchinsight,uniassist,studyingermany,4,
canada conference,14/12/2025,12:13,Sunday,conference/fellowship,voiceover,voiceover,Question,22.77,5966,199,24,20,19,0.043915521,High,119,12.45%,9.3,Canadaopportunity,Tiktoklive,canada2026,5,
Paid Internship,22/11/2025,13:37,Saturday,Paid Internship,text_overlay,text_overlay,Value,8.27,1339,37,8,1,10,0.041822255,High,6,21.37%,5,stem,paidintership,creatorsearchinsight,5,
HZDR Germany,25/11/2025,13:57,Tuesday,study / summer school,voiceover,voiceover,Value,46.67,1049,29,6,2,6,0.04099142,High,3,3.21%,7.6,creatorsearchinsight,researchopportunities,HZDR,5,
how to apply for Czech study visa,12/01/2026,22:18,Monday,study / summer school,voiceover,voiceover,Value,34.73,466,12,1,4,2,0.040772532,High,2,4.28%,7.1,creatorsearchinsight,studyabroad,studentvisa,5,
study abroad caption,19/01/2026,10:45,Monday,study / summer school,voiceover,voiceover,Question,25.53,227,7,1,1,0,0.039647577,Low,0,4.84%,4.6,creatorsearchinsight,studyabroad,studyineurope,3,
Work abroad program,19/12/2025,13:39,Friday,visa /workvisa,voiceover,voiceover,Value,33.31,950,26,7,3,1,0.038947368,Low,5,7.10%,7.4,workpermit,workabroad,creatorsearchinsight,4,
france conference,10/01/2025,17:53,Saturday,conference/fellowship,voiceover,voiceover,Value,27,639,16,3,3,0,0.034428795,Low,2,5.93%,6.6,creatorsearchinsight,expertlife,livinginfrance,3,
Study in Germany for free,13/01/2026,14:21,Tuesday,study / summer school,voiceover,voiceover,Question,37.93,884,21,0,5,3,0.03280543,Low,4,1.38%,4.4,creatorsearchinsight,studyabroad,scholarshipalert,5,
Jobs abroad,23/12/2025,11:24,Tuesday,visa /workvisa,text_overlay,text_overlay,Value,5,1108,27,7,1,1,0.032490975,Low,0,32.93%,5.7,creatorsearchinsight,careeropportunity,,5,
Visa Advice,16/01/2026,15:11,Friday,visa,voiceover,voiceover,Value,39.17,748,15,5,2,1,0.030748663,Low,4,2.75%,5.6,yorubatiktok,nigeria,visa,3,
fully funded research program,25/11/2025,20:00,Tuesday,study / summer school,voiceover,voiceover,Question,40.7,1349,30,5,1,5,0.030392884,Low,8,1.56%,5.3,creatorsearchinsight,eui2026,phdabroad,5,
study visa and opportunity card,08/01/2026,9:49,Thursday,study / summer school,voiceover,voiceover,Question,42.23,996,21,1,5,3,0.030120482,Low,0,3.26%,6.6,creatorsearchinsight,opportunitycard,studentvisa,5,
Internship,23/12/2025,8:25,Tuesday,Paid Internship,text_overlay,text_overlay,Value,6.97,483,13,1,0,0,0.028985507,Low,0,18.20%,3.9,creatorsearchinsight,internshiplife,corporatejourney,3,
convention,17/12/2025,10:50,Wednesday,conference/fellowship,voiceover,voiceover,Question,30.43,991,15,10,0,1,0.026236125,Low,2,4.74%,5.4,creatorsearchinsight,belgium,wlc2026,5,
Austrialia 5- year visa ,22/11/2025,8:51,Saturday,visa /workvisa,text_overlay,text_overlay,Value,6.6,12824,142,110,27,43,0.02510917,Low,1,22.73%,5.1,migrationtips,europejobs,visarejection,5,
Australian nursing,07/12/2025,18:01,Sunday,Paid Internship,text_overlay,text_overlay,Value,9.71,8790,101,46,23,38,0.023663254,Low,52,20.50%,7.1,creatorsearchinsight,sponsorship,nurse,5,
fully funded trip to japan,26/11/2025,18:51,Wednesday,conference/fellowship,text_overlay,text_overlay,Value,8.6,1020,15,6,0,3,0.023529412,Low,3,14.15%,5.5,creatorsearchinsight,,,1,
Budapest volunteer,11/01/2026,10:26,Sunday,visa / volunteer abroad,text_overlay,text_overlay,Question,10.59,1067,16,7,0,2,0.023430178,Low,2,8.39%,4.1,creatorsearchinsight,volunteer,socialgood,3,
summer school scholarship,09/01/2026,9:21,Friday,study / summer school,voiceover,voiceover,Question,40.8,1078,17,4,2,1,0.022263451,Low,3,1.57%,5.8,creatorsearchinsight,studyabroad,studytips,3,
top reason visa got rejected,21/11/2025,10:49,Friday,visa,text_overlay,text_overlay,Fomo,6.5,1218,23,2,0,2,0.022167488,Low,28,9.52%,14,visasponsorship,canadajobs,creatorsearchinsight,5,
Research Internship,31/12/2025,19:29,Wednesday,Paid Internship,voiceover,voiceover,Question,34.93,925,15,2,2,1,0.021621622,Low,3,2.58%,4,creatorsearchinsight,summer program,researchinternship,5,
Study in Germany for free,12/01/2026,18:31,Monday,study / summer school,text_overlay,text_overlay,Value,9.1,940,14,1,1,2,0.019148936,Low,0,11.78%,3.9,creatorsearchinsight,studyabroad,scholarshipalert,3,
Germany visa ,08/12/2025,21:26,Monday,study / summer school,text_overlay,text_overlay,Value,11.3,1186,16,5,0,1,0.018549747,Low,2,12.29%,3.7,creatorsearchinsight,movetogermany,visaguide,5,
netherlands admission,16-Jan,9:00,Friday,study / summer school,voiceover,voiceover,Question,38.43,798,8,4,1,0,0.016290727,Low,2,1.59%,4,creatorsearchinsight,migrationtips,visaexpert,3,
europe work secret,26/11/2025,18:02,Wednesday,visa /workvisa,voiceover,voiceover,Value,45.2,614,8,1,0,1,0.016286645,Low,1,4.42%,10.2,creatorsearchinsight,workabroad,europejob,5,
Sponsor Approval,15/01/2026,13:15,Thursday,visa /workvisa,voiceover,voiceover,Value,47.83,778,7,1,1,1,0.01285347,Low,1,0.99%,4.4,creatorsearchinsight,workandtrave,secondjob,3,
full scholarship to study artificail,27/11/2025,11:35,Thursday,study / summer school,voiceover,voiceover,Fomo,41.27,162,1,1,0,0,0.012345679,Low,0,1.12%,3,creatorsearchinsight,emai,studyineurope,5,
MBA Scholarship,14/01/2026,10:46,Wednesday,study / summer school,voiceover,voiceover,Question,45.43,670,3,2,2,1,0.011940299,Low,0,58.00%,3.1,creatorsearchinsight,studyabroad,fullyfunded,5,
working visa requirment,26/11/2025,22:42,Wednesday,visa /workvisa,text_overlay,text_overlay,Value,5.57,312,2,0,0,0,0.006410256,Low,0,23.20%,5.6,creatorsearchinsight,expertlife,workvisa,5,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0.040210055,,,,,,,,,
